player,season,award,first_place_votes,award_pts_won,award_pts_max
Bob Pettit,1956,mvp,33.0,33.0,80
Paul Arizin,1956,mvp,21.0,21.0,80
Bob Cousy,1956,mvp,11.0,11.0,80
Mel Hutchins,1956,mvp,9.0,9.0,80
Dolph Schayes,1956,mvp,2.0,2.0,80
Bill Sharman,1956,mvp,2.0,2.0,80
Tom Gola,1956,mvp,1.0,1.0,80
Maurice Stokes,1956,mvp,1.0,1.0,80
Bob Cousy,1957,mvp,23.0,23.0,80
Bob Pettit,1957,mvp,21.0,21.0,80
Paul Arizin,1957,mvp,9.0,9.0,80
Dolph Schayes,1957,mvp,8.0,8.0,80
George Yardley,1957,mvp,7.0,7.0,80
Maurice Stokes,1957,mvp,5.0,5.0,80
Bill Russell,1957,mvp,2.0,2.0,80
Ray Felix,1957,mvp,1.0,1.0,80
Harry Gallatin,1957,mvp,1.0,1.0,80
Mel Hutchins,1957,mvp,1.0,1.0,80
Kenny Sears,1957,mvp,1.0,1.0,80
Jack Twyman,1957,mvp,1.0,1.0,80
Bill Russell,1958,mvp,33.0,228.0,400
Dolph Schayes,1958,mvp,25.0,198.0,400
George Yardley,1958,mvp,12.0,120.0,400
Bob Pettit,1958,mvp,4.0,97.0,400
Maurice Stokes,1958,mvp,2.0,28.0,400
Bob Cousy,1958,mvp,2.0,18.0,400
Bill Sharman,1958,mvp,2.0,11.0,400
Paul Arizin,1958,mvp,0.0,8.0,400
Walter Dukes,1958,mvp,0.0,4.0,400
Vern Mikkelsen,1958,mvp,0.0,3.0,400
Cliff Hagan,1958,mvp,0.0,2.0,400
Neil Johnston,1958,mvp,0.0,1.0,400
Clyde Lovellette,1958,mvp,0.0,1.0,400
Kenny Sears,1958,mvp,0.0,1.0,400
Bob Pettit,1959,mvp,59.0,317.0,410
Bill Russell,1959,mvp,10.0,144.0,410
Elgin Baylor,1959,mvp,2.0,88.0,410
Bob Cousy,1959,mvp,4.0,71.0,410
Paul Arizin,1959,mvp,1.0,39.0,410
Dolph Schayes,1959,mvp,1.0,26.0,410
Larry Costello,1959,mvp,3.0,15.0,410
Kenny Sears,1959,mvp,1.0,12.0,410
Cliff Hagan,1959,mvp,1.0,11.0,410
Jack Twyman,1959,mvp,0.0,7.0,410
Tom Gola,1959,mvp,0.0,3.0,410
Richie Guerin,1959,mvp,0.0,3.0,410
Dick McGuire,1959,mvp,0.0,3.0,410
