,player,season,age,team,position,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award,first_place_votes,award_pts_won,award_pts_max
10,Cody Zeller,2014,21,CHA,C,82,3.0,1416.0,172,404,0.426,0.0,1.0,0.0,172,403,0.42700000000000005,0.426,146,200,0.73,118.0,235.0,353.0,92,40.0,41.0,87.0,170,490,0.0,1.0,0.036585365853658534,,0.0,0.0,620.0
19,Gary Zeller,1971,23,BAL,SG,50,N/A,226.0,34,115,0.29600000000000004,N/A,N/A,N/A,34,115,0.29600000000000004,0.29600000000000004,15,28,0.536,N/A,N/A,27.0,7,N/A,N/A,N/A,43,83,0.0,1.0,N/A,,0.0,0.0,98.0
21,Luke Zeller,2013,25,PHO,C,16,0.0,58.0,9,26,0.34600000000000003,1.0,5.0,0.2,8,21,0.381,0.365,0,0,0.0,1.0,9.0,10.0,3,0.0,0.0,0.0,5,19,0.0,1.0,0.0,,0.0,0.0,605.0
22,Tyler Zeller,2013,23,CLE,C,77,55.0,2033.0,245,559,0.43799999999999994,0.0,4.0,0.0,245,555,0.441,0.43799999999999994,120,157,0.764,159.0,279.0,438.0,96,35.0,70.0,95.0,251,610,0.0,1.0,0.7142857142857143,,0.0,0.0,605.0
30,Tony Zeno,1980,22,IND,SF,8,N/A,59.0,6,21,0.28600000000000003,0.0,0.0,N/A,6,21,0.28600000000000003,0.28600000000000003,2,2,1.0,3.0,11.0,14.0,1,4.0,3.0,9.0,13,14,0.0,1.0,N/A,,0.0,0.0,66.0
31,Phil Zevenbergen,1988,23,SAS,C,8,0.0,58.0,15,27,0.556,0.0,0.0,N/A,15,27,0.556,0.556,0,2,0.0,4.0,9.0,13.0,3,3.0,1.0,4.0,12,30,0.0,1.0,0.0,,0.0,0.0,80.0
32,Wang Zhizhi,2001,23,DAL,C,5,0.0,38.0,8,19,0.42100000000000004,0.0,2.0,0.0,8,17,0.47100000000000003,0.42100000000000004,8,10,0.8,1.0,6.0,7.0,0,0.0,0.0,1.0,8,24,0.0,1.0,0.0,,0.0,0.0,124.0
37,George Zídek,1996,22,CHH,C,71,21.0,888.0,105,248,0.423,0.0,0.0,N/A,105,248,0.423,0.423,71,93,0.763,69.0,114.0,183.0,16,9.0,7.0,38.0,170,281,0.0,1.0,0.29577464788732394,,0.0,0.0,113.0
40,Derrick Zimmerman,2006,24,NJN,PG,2,0.0,32.0,2,3,0.667,0.0,0.0,N/A,2,3,0.667,0.667,0,0,0.0,1.0,3.0,4.0,7,0.0,0.0,4.0,4,4,0.0,1.0,0.0,,0.0,0.0,625.0
41,Stephen Zimmerman,2017,20,ORL,C,19,0.0,108.0,10,31,0.32299999999999995,0.0,0.0,N/A,10,31,0.32299999999999995,0.32299999999999995,3,5,0.6,11.0,24.0,35.0,4,2.0,5.0,3.0,17,23,0.0,1.0,0.0,,0.0,0.0,500.0
42,Paul Zipser,2017,22,CHI,SF,44,18.0,843.0,88,221,0.39799999999999996,33.0,99.0,0.33299999999999996,55,122,0.451,0.473,31,40,0.775,15.0,110.0,125.0,36,15.0,16.0,40.0,78,240,0.0,1.0,0.4090909090909091,,0.0,0.0,500.0
44,Ante Žižić,2018,21,CLE,C,32,2.0,214.0,49,67,0.731,0.0,0.0,N/A,49,67,0.731,0.731,21,29,0.7240000000000001,24.0,36.0,60.0,5,2.0,13.0,11.0,30,119,0.0,1.0,0.0625,,0.0,0.0,505.0
47,Jim Zoet,1983,29,DET,C,7,0.0,30.0,1,5,0.2,0.0,0.0,N/A,1,5,0.2,0.2,0,0,0.0,3.0,5.0,8.0,1,1.0,3.0,4.0,9,2,0.0,1.0,0.0,,0.0,0.0,74.0
48,Bill Zopf,1971,22,MIL,PG,53,N/A,398.0,49,135,0.363,0.0,0.0,0.0,49,135,0.363,0.363,20,36,0.556,N/A,N/A,46.0,73,N/A,N/A,N/A,34,118,0.0,1.0,N/A,,0.0,0.0,98.0
49,Ivica Zubac,2017,19,LAL,C,38,11.0,609.0,126,238,0.529,0.0,3.0,0.0,126,235,0.536,0.529,32,49,0.653,41.0,118.0,159.0,30,14.0,33.0,30.0,66,284,0.0,1.0,0.2894736842105263,,0.0,0.0,500.0
54,Guerschon Yabusele,2018,22,BOS,PF,33,4.0,235.0,26,61,0.426,12.0,37.0,0.324,14,24,0.583,0.525,15,22,0.682,17.0,35.0,52.0,16,4.0,5.0,12.0,23,79,0.0,1.0,0.12121212121212122,,0.0,0.0,505.0
56,Vincent Yarbrough,2003,21,DEN,SG,59,39.0,1381.0,168,428,0.39299999999999996,21.0,78.0,0.26899999999999996,147,350,0.42,0.41700000000000004,49,62,0.79,36.0,126.0,162.0,130,57.0,33.0,81.0,145,406,0.0,1.0,0.6610169491525424,,0.0,0.0,585.0
64,Barry Yates,1972,26,PHI,PF,24,N/A,144.0,31,83,0.373,0.0,0.0,0.0,31,83,0.373,0.373,7,11,0.636,N/A,N/A,40.0,7,N/A,N/A,N/A,14,69,0.0,1.0,N/A,,0.0,0.0,115.0
66,Charlie Yelverton,1972,23,POR,SG,69,N/A,1227.0,206,530,0.389,0.0,0.0,0.0,206,530,0.389,0.389,133,188,0.7070000000000001,N/A,N/A,201.0,81,N/A,N/A,N/A,145,545,0.0,1.0,N/A,,0.0,0.0,115.0
67,Rich Yonakor,1982,23,SAS,PF,10,0.0,70.0,14,26,0.5379999999999999,0.0,0.0,N/A,14,26,0.5379999999999999,0.5379999999999999,5,7,0.7140000000000001,13.0,14.0,27.0,3,1.0,2.0,2.0,7,33,0.0,1.0,0.0,,0.0,0.0,69.0
68,Danny Young,1985,22,SEA,PG,3,0.0,26.0,2,10,0.2,0.0,1.0,0.0,2,9,0.222,0.2,0,0,0.0,0.0,3.0,3.0,2,3.0,0.0,2.0,2,4,0.0,1.0,0.0,,0.0,0.0,78.0
78,James Young,2015,19,BOS,SG,31,0.0,332.0,36,102,0.353,17.0,66.0,0.258,19,36,0.528,0.436,16,29,0.552,9.0,33.0,42.0,13,8.0,2.0,5.0,22,105,0.0,1.0,0.0,,0.0,0.0,650.0
82,Joe Young,2016,23,IND,PG,41,0.0,384.0,62,169,0.36700000000000005,10.0,46.0,0.217,52,123,0.423,0.396,20,25,0.8,6.0,44.0,50.0,65,15.0,0.0,33.0,30,154,0.0,1.0,0.0,,0.0,0.0,650.0
85,Korleone Young,1999,20,DET,SF,3,0.0,15.0,5,10,0.5,1.0,4.0,0.25,4,6,0.667,0.55,2,2,1.0,2.0,2.0,4.0,1,0.0,0.0,1.0,3,13,0.0,1.0,0.0,,0.0,0.0,118.0
86,Michael Young,1985,24,PHO,SF,2,0.0,11.0,2,6,0.33299999999999996,0.0,1.0,0.0,2,5,0.4,0.33299999999999996,0,0,0.0,1.0,1.0,2.0,0,0.0,0.0,0.0,0,4,0.0,1.0,0.0,,0.0,0.0,78.0
89,Nick Young,2008,22,WAS,SG,75,2.0,1158.0,210,478,0.439,40.0,100.0,0.4,170,378,0.45,0.48100000000000004,101,124,0.815,23.0,92.0,115.0,63,35.0,7.0,94.0,130,561,0.0,1.0,0.02666666666666667,,0.0,0.0,625.0
101,Perry Young,1987,23,CHI POR ,SG,9,0.0,72.0,6,21,0.28600000000000003,0.0,0.0,N/A,6,21,0.28600000000000003,0.28600000000000003,1,2,0.5,3.0,5.0,8.0,7,5.0,1.0,4.0,14,13,0.0,1.0,0.0,,0.0,0.0,78.0
102,Sam Young,2010,24,MEM,SF,80,1.0,1321.0,224,497,0.451,11.0,56.0,0.196,213,441,0.483,0.462,136,175,0.777,77.0,124.0,201.0,52,34.0,20.0,94.0,106,595,0.0,1.0,0.0125,,0.0,0.0,615.0
106,Thaddeus Young,2008,19,PHI,PF,74,22.0,1554.0,264,490,0.539,6.0,19.0,0.316,258,471,0.5479999999999999,0.545,76,103,0.738,120.0,192.0,312.0,58,73.0,8.0,64.0,126,610,0.0,1.0,0.2972972972972973,roy,0.0,2.0,625.0
120,Tim Young,2000,23,GSW,C,25,0.0,137.0,13,39,0.33299999999999996,0.0,0.0,N/A,13,39,0.33299999999999996,0.33299999999999996,28,36,0.778,13.0,22.0,35.0,5,2.0,1.0,9.0,18,54,0.0,1.0,0.0,,0.0,0.0,121.0
121,Trae Young,2019,20,ATL,PG,81,81.0,2503.0,525,1256,0.418,156.0,482.0,0.324,369,774,0.47700000000000004,0.48,343,414,0.8290000000000001,64.0,237.0,301.0,653,72.0,15.0,308.0,140,1549,1.0,1.0,1.0,roy,2.0,301.0,500.0
124,Sun Yue,2009,23,LAL,SG,10,0.0,28.0,3,11,0.273,0.0,6.0,0.0,3,5,0.6,0.273,0,0,0.0,0.0,0.0,0.0,2,1.0,1.0,3.0,10,6,0.0,1.0,0.0,,0.0,0.0,600.0
125,Dean Wade,2020,23,CLE,PF,12,0.0,71.0,9,13,0.6920000000000001,2.0,4.0,0.5,7,9,0.778,0.769,0,1,0.0,3.0,16.0,19.0,2,2.0,4.0,3.0,8,20,0.0,1.0,0.0,,0.0,0.0,500.0
127,Dwyane Wade,2004,22,MIA,PG,61,56.0,2126.0,371,798,0.465,16.0,53.0,0.302,355,745,0.47700000000000004,0.475,233,312,0.747,85.0,162.0,247.0,275,86.0,34.0,196.0,140,991,0.0,1.0,0.9180327868852459,roy,0.0,117.0,590.0
