,player,season,age,g,gs,mp,fg,fga,fg_pct,three_p,three_pa,three_pct,two_p,two_pa,two_pct,efg,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl,season_num,gs_pct,award_pts_max,position_C,"position_C,PF",position_PF,"position_PF,SF",position_PG,"position_PG,SG",position_SF,"position_SF,SG",position_SG,team_ATL,team_BAL,team_BOS,team_BRK,team_BUF,team_CAP,team_CHA,team_CHH,team_CHI,team_CHO,team_CIN,team_CLE,team_DAL,team_DEN,team_DET,team_GSW,team_HOU,team_IND,team_KCK,team_KCO,team_LAC,team_LAL,team_MEM,team_MIA,team_MIL,team_MIN,team_Multiple,team_NJN,team_NOH,team_NOJ,team_NOK,team_NOP,team_NYK,team_NYN,team_OKC,team_ORL,team_PHI,team_PHO,team_POR,team_SAC,team_SAS,team_SDC,team_SDR,team_SEA,team_SFW,team_STL,team_TOR,team_UTA,team_VAN,team_WAS,team_WSB
0,Gary Zeller,1971,23,50,,226.0,34,115,0.29600000000000004,,,,34,115,0.29600000000000004,0.29600000000000004,15,28,0.536,,,27.0,7,,,,43,83,0.0,1.0,,98.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Tony Zeno,1980,22,8,,59.0,6,21,0.28600000000000003,0.0,0.0,,6,21,0.28600000000000003,0.28600000000000003,2,2,1.0,3.0,11.0,14.0,1,4.0,3.0,9.0,13,14,0.0,1.0,,66.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Phil Zevenbergen,1988,23,8,0.0,58.0,15,27,0.556,0.0,0.0,,15,27,0.556,0.556,0,2,0.0,4.0,9.0,13.0,3,3.0,1.0,4.0,12,30,0.0,1.0,0.0,80.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Wang Zhizhi,2001,23,5,0.0,38.0,8,19,0.421,0.0,2.0,0.0,8,17,0.471,0.421,8,10,0.8,1.0,6.0,7.0,0,0.0,0.0,1.0,8,24,0.0,1.0,0.0,124.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,George Zídek,1996,22,71,21.0,888.0,105,248,0.423,0.0,0.0,,105,248,0.423,0.423,71,93,0.763,69.0,114.0,183.0,16,9.0,7.0,38.0,170,281,0.0,1.0,0.29577464788732394,113.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Derrick Zimmerman,2006,24,2,0.0,32.0,2,3,0.667,0.0,0.0,,2,3,0.667,0.667,0,0,0.0,1.0,3.0,4.0,7,0.0,0.0,4.0,4,4,0.0,1.0,0.0,625.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Jim Zoet,1983,29,7,0.0,30.0,1,5,0.2,0.0,0.0,,1,5,0.2,0.2,0,0,0.0,3.0,5.0,8.0,1,1.0,3.0,4.0,9,2,0.0,1.0,0.0,74.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bill Zopf,1971,22,53,,398.0,49,135,0.363,0.0,0.0,0.0,49,135,0.363,0.363,20,36,0.556,,,46.0,73,,,,34,118,0.0,1.0,,98.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Vincent Yarbrough,2003,21,59,39.0,1381.0,168,428,0.393,21.0,78.0,0.269,147,350,0.42,0.417,49,62,0.79,36.0,126.0,162.0,130,57.0,33.0,81.0,145,406,0.0,1.0,0.6610169491525424,585.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Barry Yates,1972,26,24,,144.0,31,83,0.373,0.0,0.0,0.0,31,83,0.373,0.373,7,11,0.636,,,40.0,7,,,,14,69,0.0,1.0,,115.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
